RA;Código_turma;Nome_Disciplina
11201721138;NB1ESTU024-17SA;ANÁLISE DE SISTEMAS E MODELAGEM AMBIENTAL
11201721142;NA1BIN0406-15SB;INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA
11201721164;NA1ESHR017-21SB;ORGANIZAÇÕES INTERNACIONAIS E MULTILATERALISMO
11201721164;NA1ESHR003-21SB;ECONOMIA POLÍTICA INTERNACIONAL DA SEGURANÇA ALIMENTAR
11201721164;NA1ESHR008-21SB;INTEGRAÇÃO REGIONAL - TEORIAS E EXPERIÊNCIAS
11201721166;NB1BCK0103-15SA;FÍSICA QUÂNTICA
11201721166;NA9BCJ0204-15SA;FENÔMENOS MECÂNICOS
11201721198;NA1ESHP030-22SB;ORÇAMENTO PÚBLICO
11201721198;NA1ESHT010-17SB;MÉTODOS DE PLANEJAMENTO
11201721218;DA1MCTB009-17SA;CÁLCULO NUMÉRICO
11201721218;DA3BCN0404-15SA;GEOMETRIA ANALÍTICA
11201721218;DA1NHZ6015-18SA;BIOTECNOLOGIA AMBIENTAL E AGROINDUSTRIAL
11201721218;DA6BCL0308-15SA;BIOQUÍMICA: ESTRUTURA, PROPRIEDADES E FUNÇÕES DE BIOMOLÉCULAS
11201721244;NA1BHO0002-19SB;INTRODUÇÃO AO PENSAMENTO ECONÔMICO
11201721244;DA1BIK0102-15SB;ESTRUTURA DA MATÉRIA
11201721244;DA1BHQ0001-15SB;IDENTIDADE E CULTURA
11201721244;NA1BHQ0301-15SB;TERRITÓRIO E SOCIEDADE
11201721244;DA1LHZ0011-19SB;ENSINO INTERDISCIPLINAR DE HISTÓRIA
11201721252;NA2BCJ0203-15SA;FENÔMENOS ELETROMAGNÉTICOS
11201721265;NB1BCJ0203-15SA;FENÔMENOS ELETROMAGNÉTICOS
11201721340;NA1ESTS008-17SB;VIBRAÇÕES
11201721340;NA1ESTS001-17SB;DINÂMICA I
11201721340;NA1ESTA008-17SB;SISTEMAS DE CONTROLE II
11201721345;DA1NHBB001-23SA;ZOOLOGIA: ORIGEM E DIVERSIFICAÇÃO DE METAZOA
11201721345;DA1BCM0506-15SA;COMUNICAÇÃO E REDES
11201721345;DA1NHT1060-15SA;MORFOFISIOLOGIA HUMANA III
11201721345;DA1NHZ1027-15SA;FARMACOLOGIA
11201721345;DA1NHZ6012-18SA;EMPREENDEDORISMO E PLANEJAMENTO DE PROJETOS EM BIOTECNOLOGIA
11201721346;NB1ESTU024-17SA;ANÁLISE DE SISTEMAS E MODELAGEM AMBIENTAL
11201721346;NA1ESTU023-17SA;BIOMAS BRASILEIROS
11201721368;DA1ESZP026-13SB;MEMÓRIA, IDENTIDADES SOCIAIS E CIDADANIA NAS SOCIEDADES COMPLEXAS CONTEMPORÂNEAS
11201721368;NA1MCTB008-17SA;CÁLCULO DE PROBABILIDADE
11201721372;DA1ESTO001-17SA;CIRCUITOS ELÉTRICOS E FOTÔNICA
11201721372;DA1ESTM010-17SA;PROPRIEDADES MECÂNICAS E TÉRMICAS
11201721372;DA1ESTO012-17SA;PRINCÍPIOS DE ADMINISTRAÇÃO
11201721372;DB1MCTB001-17SA;ÁLGEBRA LINEAR
11201721387;NA1MCTD023-18SA;FUNDAMENTOS DE ANÁLISE
11201721387;NA1MCZB035-17SA;EVOLUÇÃO DOS CONCEITOS MATEMÁTICOS
11201721399;NA2ESTO011-17SA;FUNDAMENTOS DE DESENHO TÉCNICO
11201721399;NA1ESZU029-17SA;HISTÓRIA DA CIDADE E DO URBANISMO
11201721400;NA1ESHC016-17SB;FINANÇAS CORPORATIVAS
11201721400;NA1ESHC020-17SB;HISTÓRIA ECONÔMICA GERAL
11201721400;DB1ESHC022-17SB;MACROECONOMIA I
11201721400;NA1ESHC002-17SB;CONTABILIDADE BÁSICA
11201721423;NB4BCL0308-15SA;BIOQUÍMICA: ESTRUTURA, PROPRIEDADES E FUNÇÕES DE BIOMOLÉCULAS
11201721433;NB1ESTI017-17SA;FUNDAMENTOS DE ELETROMAGNETISMO APLICADO
11201721433;DB2MCTA028-15SA;PROGRAMAÇÃO ESTRUTURADA
11201721439;DA1ESHP014-13SB;INTRODUÇÃO ÀS POLÍTICAS PÚBLICAS
11201721439;NA1ESHP030-22SB;ORÇAMENTO PÚBLICO
11201721439;DA1ESHP031-22SB;AVALIAÇÃO E MONITORAMENTO DE POLÍTICAS PÚBLICAS
11201721439;NA1ESHT010-17SB;MÉTODOS DE PLANEJAMENTO
11201721439;NA1ESHP023-22SB;HISTÓRIA DAS INSTITUIÇÕES POLÍTICAS BRASILEIRAS
11201721501;DA1ESZG041-17SB;GESTÃO DA INOVAÇÃO
11201721501;NA1ESHP030-22SB;ORÇAMENTO PÚBLICO
11201721501;NI1ESHR006-13SB;FORMAÇÃO HISTÓRICA DA AMÉRICA LATINA
11201721501;NA1ESHC002-17SB;CONTABILIDADE BÁSICA
