Código da matéria;Nome da completo matéria;Campus;Horários;Docente teoria;Docente pratica;Arquivo_Origem
NA3BCJ0204-15SA;FENÔMENOS MECÂNICOS;SA;"Teoria: segunda das 21:00 às 23:00, semanal; quinta das 19:00 às 21:00, semanal | Prática: segunda das 19:00 às 21:00, quinzenal I";FLAVIO LEANDRO DE SOUZA(CEDIDO );FLAVIO LEANDRO DE SOUZA(CEDIDO );Resultados da classificação_.pdf
NA4BCJ0204-15SA;FENÔMENOS MECÂNICOS;SA;"Teoria: segunda das 21:00 às 23:00, semanal; quinta das 19:00 às 21:00, semanal | Prática: segunda das 19:00 às 21:00, quinzenal II";MARCOS DE ABREU AVILA;MARCOS DE ABREU AVILA;Resultados da classificação_.pdf
NA5BCJ0204-15SA;FENÔMENOS MECÂNICOS;SA;"Teoria: segunda das 21:00 às 23:00, semanal; quinta das 19:00 às 21:00, semanal | Prática: segunda das 19:00 às 21:00, quinzenal I";MARCOS DE ABREU AVILA;MARCOS DE ABREU AVILA;Resultados da classificação_.pdf
NA6BCJ0204-15SA;FENÔMENOS MECÂNICOS;SA;"Teoria: segunda das 21:00 às 23:00, semanal; quinta das 19:00 às 21:00, semanal | Prática: segunda das 19:00 às 21:00, quinzenal II";MARCOS DE ABREU AVILA;FLAVIO LEANDRO DE SOUZA(CEDIDO );Resultados da classificação_.pdf
NA7BCJ0204-15SA;FENÔMENOS MECÂNICOS;SA;"Teoria: segunda das 21:00 às 23:00, semanal; quinta das 19:00 às 21:00, semanal | Prática: segunda das 19:00 às 21:00, quinzenal I";FELIPE CHEN ABREGO;FELIPE CHEN ABREGO;Resultados da classificação_.pdf
NA8BCJ0204-15SA;FENÔMENOS MECÂNICOS;SA;"Teoria: segunda das 21:00 às 23:00, semanal; quinta das 19:00 às 21:00, semanal | Prática: segunda das 19:00 às 21:00, quinzenal II";FELIPE CHEN ABREGO;FELIPE CHEN ABREGO;Resultados da classificação_.pdf
NA9BCJ0204-15SA;FENÔMENOS MECÂNICOS;SA;"Teoria: segunda das 21:00 às 23:00, semanal; quinta das 19:00 às 21:00, semanal | Prática: segunda das 19:00 às 21:00, quinzenal I";FELIPE CHEN ABREGO;RONALDO SAVIOLI SUME VIEIRA;Resultados da classificação_.pdf
NB1BCJ0204-15SA;FENÔMENOS MECÂNICOS;SA;"Teoria: segunda das 19:00 às 21:00, semanal; quinta das 21:00 às 23:00, semanal | Prática: segunda das 21:00 às 23:00, quinzenal I";MARTIN GUSTAVO RICHARTE;MAURO ROGERIO COSENTINO;Resultados da classificação_.pdf
NB2BCJ0204-15SA;FENÔMENOS MECÂNICOS;SA;"Teoria: segunda das 19:00 às 21:00, semanal; quinta das 21:00 às 23:00, semanal | Prática: segunda das 21:00 às 23:00, quinzenal II";MARTIN GUSTAVO RICHARTE;MAURO ROGERIO COSENTINO;Resultados da classificação_.pdf
NB3BCJ0204-15SA;FENÔMENOS MECÂNICOS;SA;"Teoria: segunda das 19:00 às 21:00, semanal; quinta das 21:00 às 23:00, semanal | Prática: segunda das 21:00 às 23:00, quinzenal I";MARTIN GUSTAVO RICHARTE;MARTIN GUSTAVO RICHARTE;Resultados da classificação_.pdf
NB4BCJ0204-15SA;FENÔMENOS MECÂNICOS;SA;"Teoria: segunda das 19:00 às 21:00, semanal; quinta das 21:00 às 23:00, semanal | Prática: segunda das 21:00 às 23:00, quinzenal II";VILSON TONIN ZANCHIN;VILSON TONIN ZANCHIN;Resultados da classificação_.pdf
NB7BCJ0204-15SA;FENÔMENOS MECÂNICOS;SA;"Teoria: segunda das 19:00 às 21:00, semanal; quinta das 21:00 às 23:00, semanal | Prática: segunda das 21:00 às 23:00, quinzenal I";VITOR HUGO PASCHOAL;ROOSEVELT DROPPA JUNIOR;Resultados da classificação_.pdf
NB8BCJ0204-15SA;FENÔMENOS MECÂNICOS;SA;"Teoria: segunda das 19:00 às 21:00, semanal; quinta das 21:00 às 23:00, semanal | Prática: segunda das 21:00 às 23:00, quinzenal II";VITOR HUGO PASCHOAL;VITOR HUGO PASCHOAL;Resultados da classificação_.pdf
