BC&T 2023						BC&T 2015 - 2017						BAC. COMPUTAÇÃO 2017						BAC. COMPUTAÇÃO 2023						BAC. DADOS 2024						ENG. IAR  2023						ENG. INFORMAÇÃO 2023						ENG. AERO 2023						ENG. GESTÃO 2023						ENG. MATERIAIS 2023						ENG. AMBIENTAL 2023						BAC. BIOTEC 2023						ENG. BIOMED 2023						ENG. ENERGIA 2023						BAC. NEUROCIÊNCIA 2023						BAC. FÍSICA 2023						BAC. MATEMÁTICA 2023						BAC. QUÍMICA 2023						BAC. BIOLÓGICAS 2023						BC&H 2020						BAC. ECONOMIA 2023						BAC. RI 2022						BAC. POLÍTICAS PÚBLICAS 2023						BAC, PLAN. TERRITORIAL 2022					
OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	Obrigatórias	Limitadas	Livres	Horas Complementares (Preencher)	Extensionistas (Preencher)	Carga total	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL	OBRIGATORIAS	LIMITADAS	LIVRES	EXTENSIONISTAS (PREENCHER)	HORAS COMPLEMENTARES (PREENCHER)	CARGA TOTAL
		ECONOMIA DO TERRITORIO	48					ATENCAO E ESTADOS DE CONSCIENCIA	48			ESTRUTURA E DINAMICA SOCIAL	36	LABORATORIO DE SISTEMAS OPERACIONAIS	48			ANÁLISE DE ALGORITMOS I	48	PROGRAMAÇÃO PARALELA	48			INTRODUCAO A PROBABILIDADE E A ESTATISTICA	36	SENSORIAMENTO REMOTO	48			MODELAGEM E CONTROLE	24	APLICAÇÕES DE MICROCONTROLADORES	48			SINAIS ALEATÓRIOS	48	APLICAÇÕES EM VOZ, ÁUDIO E ACÚSTICA	48			PRINCÍPIOS DE ADMINISTRAÇÃO	24	PROJETO DE ELEMENTOS ESTRUTURAIS DE AERONAVES II	48			ORGANIZACAO DO TRABALHO	24	MODELOS DE COMUNICACAO NAS ORGANIZACOES	24			ENGENHARIA ECONÔMICA	48	PROCESSAMENTO DE POLÍMEROS	48			REGULACAO AMBIENTAL E URBANISTICA	24	PROCESSAMENTO E ANALISE DE SINAIS BIOMEDICOS	48			NANOBIOTECNOLOGIA	48	INSTRUMENTACAO BIOMEDICA I	48			PRINCIPIOS DE ADMINISTRACAO	24	PROCESSAMENTO E ANALISE DE SINAIS BIOMEDICOS	48			FENÔMENOS ELETROMAGNÉTICOS	60	RESÍDUOS NUCLEARES	36			PROGRESSOS E MÉTODOS EM NEUROCIÊNCIA	48	INTRODUÇÃO À PSICOLINGUÍSTICA E NEUROCIÊNCIA DA LINGUAGEM	48			FÍSICA EXPERIMENTAL IV	48	BIOFÍSICA DE MEMBRANAS	72			PROJETO DIRIGIDO	24	ELEMENTOS FINITOS	48			QUÍMICA DE COORDENAÇÃO	96	INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA	48			MORFOFISIOLOGIA HUMANA I	72	SANEAMENTO AMBIENTAL	48					DESENVOLVIMENTO SOCIOECONÔMICO	48			ECONOMIA BRASILEIRA II	48	HISTÓRIA DA CIDADE E DO URBANISMO	48			POLÍTICA EXTERNA BRASILEIRA CONTEMPORÂNEA	48	EMPREENDEDORISMO	48			PRÁTICAS EM CIÊNCIAS E HUMANIDADES	36	PLANEJAMENTO E POLÍTICA REGIONAL	48			OFICINA DE PLANEJAMENTO MACRO E MESO REGIONAL	48	URBANIZAÇÃO BRASILEIRA	48		
		ESTUDOS DO MEIO FISICO	48					AUTOMACAO DE SISTEMAS INDUSTRIAIS	48			PROGRAMACAO ESTRUTURADA	48	LOGICAS NAO CLASSICAS	48			REDES DE COMPUTADORES	48	PROJETO DE REDES	48			FISICA QUANTICA	36	TRANSPORTES, USO E OCUPACAO DO SOLO	24			MECÂNICA DOS SÓLIDOS I	48	DINÂMICA II	48			ENGENHARIA ECONÔMICA	48	PROPAGAÇÃO E ANTENAS	48			DINÂMICA I	48	ANÁLISE EXPERIMENTAL DE ESTRUTURAS	48			MATERIAIS E SUAS PROPRIEDADES	48	NEGOCIACAO E SOLUCAO DE CONFLITOS ORGANIZACIONAIS	48			FENÔMENOS DE TRANSPORTE	48	ENGENHARIA DE CERÂMICAS	48			CARTOGRAFIA E GEOPROCESSAMENTO	48	INTRODUCAO A BIOTECNOLOGIA	48			ENZIMOLOGIA E BIOCATALISE	72	INTELIGENCIA ARTIFICIAL	48			FENOMENOS DE TRANSPORTE	48	INTRODUCAO A BIOTECNOLOGIA	48			COMUNICAÇÃO E REDES	36	ENGENHARIA UNIFICADA (ENGENHARIA NUCLEAR)	36			ESTÁGIO SUPERVISIONADO EM NEUROCIÊNCIA I	120	DESENVOLVIMENTO E DEGENERAÇÃO DO SISTEMA NERVOSO	48			MECÂNICA QUÂNTICA II	48	NEUROCIÊNCIA TEÓRICA E COMPUTACIONAL	48			GEOMETRIA DIFERENCIAL	72	GEOMETRIA NÃO EUCLIDIANA	48			QUÍMICA ORGÂNICA EXPERIMENTAL	48	BIOFÍSICA DE MEMBRANAS	72			EVOLUÇÃO	48	COMPOSTAGEM	24					ECONOMIA BRASILEIRA CONTEMPORÂNEA I	48			MICROECONOMIA II	48	MÉTODOS DE PLANEJAMENTO	48			ÁFRICA NAS RELAÇÕES INTERNACIONAIS	48	PENSAMENTO LATINO-AMERICANO E POLÍTICAS DE CT&I	48			DIREITO ADMINISTRATIVO	48	PLANEJAMENTO E POLÍTICA RURAL	48			PLANEJAMENTO E POLÍTICA RURAL	48	DINÂMICAS TERRITORIAIS E RELAÇÕES ÉTNICO-RACIAIS NO BRASIL	48		
		HISTORIA DA CIDADE E DO URBANISMO	48					AVALIACAO DE IMPACTOS AMBIENTAIS	36			CIENCIA, TECNOLOGIA E SOCIEDADE	36	METODOLOGIA E ESCRITA CIENTIFICA PARA CIENCIA DA COMPUTACAO	24			ENGENHARIA DE SOFTWARE	48	PROJETO INTERDISCIPLINAR	48			BIOQUIMICA: ESTRUTURA, PROPRIEDADES E FUNCOES DE BIOMOLECULAS	60	ANALISE REAL I	48			PRINCÍPIOS DE ADMINISTRAÇÃO	24	PROJETO DE SISTEMAS DIGITAIS COM VHDL E IMPLEMENTAÇÃO EM FPGAS	48			PROJETO DIRIGIDO	24	TELEFONIA FIXA E VOIP	48			PROJETO DIRIGIDO	24	AERODINÂMICA II	48			PROJETO DIRIGIDO	24	TOPICOS ESPECIAIS EM ENGENHARIA ORGANIZACIONAL	24			CÁLCULO NUMÉRICO	48	PROCESSAMENTO DE MATERIAIS CERÂMICOS	48			PRINCIPIOS DE ADMINISTRACAO	24	INTRODUCAO A BIOFOTONICA E OPTICA BIOMEDICA	48			LABORATORIO DE BIOPROCESSOS	48	INTRODUCAO A ENGENHARIA BIOMEDICA	24			PROJETO DIRIGIDO	24	INTRODUCAO A BIOFOTONICA E OPTICA BIOMEDICA	48			INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS	48	HIDROGÊNIO E CÉLULAS A COMBUSTÍVEL	48			PROCESSAMENTO DE SINAIS NEURAIS	48	ERGONOMIA COGNITIVA	48					PROCESSAMENTO DE SINAIS NEURAIS	48			TOPOLOGIA	48	GRUPO FUNDAMENTAL E ESPAÇO DE RECOBRIMENTO	48			TÓPICOS ESPECIAIS EM QUÍMICA ORGÂNICA	24	DESENHO E PROJETO EM QUÍMICA	36			ZOOLOGIA DE VERTEBRADOS	72	CONTAMINAÇÃO E REMEDIAÇÃO DE SOLOS	36					ECONOMIA BRASILEIRA CONTEMPORÂNEA II	48			MACROECONOMIA II	48	MÉTODOS E TÉCNICAS DE ANÁLISE DE INFORMAÇÃO PARA O PLANEJAMENTO	48			ESTUDOS ESTRATÉGICOS E DEFESA	48	CONFLITOS NO CIBERESPAÇO: ATIVISMO E GUERRA NAS REDES CIBERNÉTICAS	48			MÉTODOS QUANTITATIVOS EM POLÍTICAS PÚBLICAS	48	POLÍTICA METROPOLITANA	48			POLÍTICA URBANA	48	TÓPICOS ESPECIAIS EM PLANEJAMENTO TERRITORIAL	48		
		DISPOSITIVOS ELETRONICOS	60					AVALIACAO NO ENSINO DE QUIMICA	36			ALGORITMOS E ESTRUTURAS DE DADOS I	48	METODOS DE OTIMIZACAO	48			ANÁLISE DE ALGORITMOS II	48	REDES CONVERGENTES	48			CIENCIA, TECNOLOGIA E SOCIEDADE	36	ANALISE DE ALGORITMOS I	48			PROJETO DIRIGIDO	24	ÓPTICA INTEGRADA	48			DISPOSITIVOS ELETRÔNICOS	60	PROGRAMAÇÃO DE SOFTWARE EMBARCADO	48			DINÂMICA DE GASES	72	SISTEMAS DE PROPULSÃO II	48			ESTATISTICA APLICADA A SISTEMAS DE GESTAO	48	CONTABILIDADE PARA ENGENHARIA	48			PROJETO DIRIGIDO	24	PROCESSAMENTO E CONFORMAÇÃO DE METAIS I	48			CARACTERIZACAO DE MATRIZES AMBIENTAIS	36	TECNICAS MODERNAS EM FOTOTERAPIA	48			PROTEINAS RECOMBINANTES	48	INTRODUCAO A INFERENCIA ESTATISTICA	48			FUNDAMENTOS DE FISIOPATOLOGIA PARA ENGENHARIAS III	48	TECNICAS MODERNAS EM FOTOTERAPIA	48			INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA	36	GERAÇÃO DISTRIBUÍDA	24			ESTÁGIO SUPERVISIONADO EM NEUROCIÊNCIA II	120	NEUROARTE	24					ALGORITMOS E ESTRUTURAS DE DADOS I	48			EQUAÇÕES DIFERENCIAIS PARCIAIS	48	INFERÊNCIA ESTATÍSTICA	48			ELETROQUÍMICA	36	INTRODUÇÃO À TRANSFERÊNCIA DE CALOR, MASSA E MOVIMENTAÇÃO DE FLUIDOS	48			BIOÉTICA	24	ECONOMIA, SOCIEDADE E MEIO AMBIENTE	36					ECONOMIA INSTITUCIONAL I	48			ECONOMETRIA II	48	MOBILIZAÇÃO PRODUTIVA DOS TERRITÓRIOS E DESENVOLVIMENTO LOCAL	48			PRÁTICAS EM CIÊNCIAS E HUMANIDADES	36	CULTURA, IDENTIDADE E POLÍTICA NA AMÉRICA LATINA	48			PODER LOCAL	48	POLÍTICA URBANA	48			PRÁTICAS EM CIÊNCIAS E HUMANIDADES	36	PRÁTICAS ESPECIAIS DO PLANEJAMENTO TERRITORIAL	48		
		CIRCUITOS ELETRICOS I	60					BANCO DE DADOS	48			CIRCUITOS DIGITAIS	48	MINERACAO DE DADOS	48			PROGRAMAÇÃO FUNCIONAL	48	REDES SEM FIO	48			PROGRAMACAO ESTRUTURADA	48	INTELIGENCIA ARTIFICIAL	48			DISPOSITIVOS ELETRÔNICOS	60					CIRCUITOS ELÉTRICOS II	60	INSTRUMENTAÇÃO EM RF E MICRO-ONDAS	48			AERONÁUTICA I-A	48	MÁQUINAS DE FLUXO	48			INTRODUCAO AOS PROCESSOS DE FABRICACAO METAL MECANICO	72	GESTAO DE CUSTOS AVANCADA	48			ESTADO SÓLIDO	48	PROCESSAMENTO E CONFORMAÇÃO DE METAIS II	48			HIDRAULICA DE CONDUTOS LIVRES	24	TECNICAS MODERNAS EM FOTODIAGNOSTICO	48			SEGURANCA E REGULAMENTACAO EM BIOTECNOLOGIA	24	LABORATORIO DE BIOINFORMATICA	48			PRINCIPIOS DE ETICA EM SERVICOS DE SAUDE	24	TECNICAS MODERNAS EM FOTODIAGNOSTICO	48			INTRODUÇÃO ÀS ENGENHARIAS	24	ECONOMIA DO PETRÓLEO E DO GÁS NATURAL	48			NEUROETOLOGIA	48	ATENÇÃO E ESTADOS DE CONSCIÊNCIA	48					INTELIGÊNCIA ARTIFICIAL	48			TEORIA DE ANÉIS	48	INTRODUÇÃO À ANÁLISE ESTOCÁSTICA EM FINANÇAS	48			ESPECTROANALÍTICA MOLECULAR E ATÔMICA	72	OPERAÇÕES UNITÁRIAS I	48			MORFOFISIOLOGIA HUMANA II	72	GESTÃO AMBIENTAL NA INDÚSTRIA	36					ECONOMIA INTERNACIONAL I	48			ECONOMIA INSTITUCIONAL	48	PLANEJAMENTO E POLÍTICA REGIONAL	48			ECONOMIA POLÍTICA INTERNACIONAL DA ENERGIA	48	AMÉRICA LATINA CONTEMPORÂNEA	48			TRAJETÓRIAS DAS POLÍTICAS DE CT&I NO BRASIL	48	USO DO SOLO URBANO	48			GOVERNANÇA PÚBLICA, DEMOCRACIA E POLÍTICAS NO TERRITÓRIO	48	MODELOS ECONÔMICOS E ANÁLISE DAS DINÂMICAS TERRITORIAIS	48		
		SISTEMAS DE CONTROLE I	60					BASES BIOLOGICAS PARA ENGENHARIA II	60			COMPUTADORES, ETICA E SOCIEDADE	24	PESQUISA OPERACIONAL	72			COMPUTADORES, ÉTICA E SOCIEDADE	24	SEGURANÇA EM REDES	48			ESTRUTURA E DINAMICA SOCIAL	36	PROGRAMACAO FUNCIONAL	48			CIRCUITOS ELÉTRICOS II	60					PRINCÍPIOS DE COMUNICAÇÃO	48	PROGRAMAÇÃO BASEADA EM COMPONENTES PARA JOGOS	48			INTRODUÇÃO À ASTRONÁUTICA	24	PROJETO DE AERONAVES I	48			TEMPOS, METODOS E ARRANJOS FISICOS	48	FINANCAS, GESTAO E ADMINISTRACAO FINANCEIRA	48			QUÍMICA INORGÂNICA DE MATERIAIS	72					REPRESENTACAO GRAFICA DE PROJETOS AMBIENTAIS E URBANOS	48	PROCESSAMENTO DE IMAGENS MEDICAS	48			ENGENHARIA METABOLICA	48	LIBRAS	48			BIOESTATISTICA	48	PROCESSAMENTO DE IMAGENS MEDICAS	48			FÍSICA QUÂNTICA	36	ENGENHARIA DE COMPLETAÇÃO	48			ESTÁGIO SUPERVISIONADO EM NEUROCIÊNCIA III	72	TOMADA DE DECISÕES E NEUROECONOMIA	48					PROGRAMAÇÃO ORIENTADA A OBJETOS	48			TEORIA DA MEDIDA E INTEGRAÇÃO	48	INTRODUÇÃO À ANÁLISE FUNCIONAL	48			QUÍMICA DE MACROMOLÉCULAS BIOLÓGICAS	96	OPERAÇÕES UNITÁRIAS II	48			FISIOLOGIA VEGETAL I	72	QUESTÕES AMBIENTAIS GLOBAIS	24					ECONOMIA INTERNACIONAL II	48			MACROECONOMIA III	48	POLÍTICA METROPOLITANA	48			GEOPOLÍTICA	48	GEOPOLÍTICA DO PETRÓLEO E O DESENVOLVIMENTO BRASILEIRO	48			MÉTODOS QUALITATIVOS E DESENHO DE PESQUISA PARA O TCC DE POLÍTICAS PÚBLICAS	48	CUSTOS	72			OFICINA DE PLANEJAMENTO DE ÁREAS PERIURBANAS, INTERIORANAS E RURAIS	48	TÓPICOS ESPECIAIS EM MÉTODOS E TÉCNICAS PARA O PLANEJAMENTO TERRITORIAL	48		
		CIRCUITOS ELETRICOS II	60					BASES NEURAIS DA MOTRICIDADE	48			ALGORITMOS E ESTRUTURAS DE DADOS II	48	PLANEJAMENTO DE REDES DE INFORMACAO	48			COMPUTAÇÃO GRÁFICA	48	SISTEMAS DE GERENCIAMENTO DE BANCO DE DADOS	48			ALGORITMOS E ESTRUTURAS DE DADOS I	48	PROGRAMACAO ORIENTADA A OBJETOS	48			TRANSFORMADAS EM SINAIS E SISTEMAS LINEARES	48					REDES DE COMPUTADORES	48	FUNDAMENTOS DA COMPUTAÇÃO SEMÂNTICA	48			APLICAÇÕES ESTRUTURAIS DE MATERIAIS COMPÓSITOS	48	DINÂMICA ORBITAL	48			SISTEMAS CAD/CAE	48	GESTAO DE RISCOS EM SISTEMAS DE GESTAO	48			MECÂNICA DOS SÓLIDOS I	48					PROJETO DIRIGIDO	24	QUALIDADE DE IMAGENS MEDICAS	48			BIOLOGIA SINTETICA	48	MICROBIOLOGIA AMBIENTAL	48			MODELAGEM DE SISTEMAS DINAMICOS II	48	QUALIDADE DE IMAGENS MEDICAS	48			BIOQUÍMICA: ESTRUTURA, PROPRIEDADES E FUNÇÕES DE BIOMOLÉCULAS	60	ENGENHARIA DE PERFURAÇÃO	48					SENSAÇÃO E PERCEPÇÃO	48					PROGRAMAÇÃO ESTRUTURADA	48			ANÁLISE NO RN II	48	INTRODUÇÃO À CRIPTOGRAFIA	48			ELETROANALÍTICA E INSTRUMENTAÇÃO EM QUÍMICA	60	POLÍMEROS: SÍNTESE, CARACTERIZAÇÃO E PROCESSOS	72			ECOLOGIA COMPORTAMENTAL	48	SENSORIAMENTO REMOTO	48					FINANÇAS CORPORATIVAS	48			MICROECONOMIA III	48	POLÍTICA URBANA	48			POLÍTICA INTERNACIONAL DOS EUA	48	DINÂMICA DOS INVESTIMENTOS PRODUTIVOS INTERNACIONAIS	48			INSTITUIÇÕES JUDICIAIS E POLÍTICAS PÚBLICAS	48	ELABORAÇÃO, ANÁLISE E AVALIAÇÃO DE PROJETOS	48			USO DO SOLO URBANO	48	TÓPICOS ESPECIAIS EM POLÍTICAS SETORIAIS NO TERRITÓRIO	48		
		ANALISE DE SISTEMAS DINAMICOS LINEARES	36					BIOESTATISTICA	48			INTELIGENCIA ARTIFICIAL	48	PRATICA AVANCADA DE PROGRAMACAO A	48			MODELAGEM DE BANCO DE DADOS	48	SISTEMAS DE INFORMAÇÃO	48			COMPUTADORES, ETICA E SOCIEDADE	24	REDES DE COMPUTADORES	48			PROCESSAMENTO DIGITAL DE SINAIS	48					SISTEMAS DE CONTROLE I	60	INTRODUÇÃO À LINGUÍSTICA COMPUTACIONAL	48			SISTEMAS DE CONTROLE I	60	CINEMÁTICA E DINÂMICA DE MECANISMOS	48			SISTEMAS CAM	48	TEMAS CONTEMPORANEOS DE CUSTOS EM SISTEMAS DE GESTAO	48			SOLUÇÕES PARA DESAFIOS EM ENGENHARIA	24					CLIMATOLOGIA	36	INTRODUCAO A ROBOTICA	48			BIOTECNOLOGIA VEGETAL	48	MINERACAO DE DADOS	48			SENSORES BIOMEDICOS	24	INTRODUCAO A ROBOTICA	48			CIÊNCIA, TECNOLOGIA E SOCIEDADE	36	ENGENHARIA DE RESERVATÓRIOS I	48					MEMÓRIA E APRENDIZAGEM	48					BANCO DE DADOS	48			OTIMIZAÇÃO LINEAR	48	INTRODUÇÃO AOS SISTEMAS DINÂMICOS	48			FÍSICO-QUÍMICA EXPERIMENTAL	48	PRÁTICAS EM QUÍMICA ANALÍTICA	48			MICROBIOLOGIA	72	UNIDADES DE CONSERVAÇÃO DA NATUREZA	48					FINANÇAS PÚBLICAS	48			ECONOMETRIA III	48	DESENVOLVIMENTO ECONÔMICO E SOCIAL NO BRASIL	48			CHINA NAS RELAÇÕES INTERNACIONAIS	48	MIGRAÇÕES INTERNACIONAIS	48			ORÇAMENTO PÚBLICO	48	GESTÃO DE OPERAÇÕES	48			MOBILIZAÇÃO PRODUTIVA DOS TERRITÓRIOS E DESENVOLVIMENTO LOCAL	48	GESTÃO URBANO-AMBIENTAL	48		
		FOTONICA	48					BIOETICA	24			PROJETO DIRIGIDO	24	PRATICA AVANCADA DE PROGRAMACAO B	48			INTERAÇÃO HUMANO-COMPUTADOR	48	SISTEMAS MULTIAGENTES	48			PROJETO DIRIGIDO	24	SEGURANCA DE DADOS	48			SOLUÇÕES PARA DESAFIOS EM ENGENHARIA	24					ELETRÔNICA ANALÓGICA APLICADA	60	FUNDAMENTOS DE COMPUTAÇÃO GRÁFICA	48			DESEMPENHO DE AERONAVES	48	PLACAS E CASCAS	48			CUSTOS	72	METROLOGIA	48			TÓPICOS COMPUTACIONAIS EM MATERIAIS	48					GEOTECNIA	48	LABORATORIO DE BIOINFORMATICA	48			GENOMICA E POS-GENOMICA	72	MORFOFISIOLOGIA ANIMAL COMPARADA	48			CIENCIA DOS MATERIAIS BIOCOMPATIVEIS	48	LABORATORIO DE BIOINFORMATICA	48			CÁLCULO NUMÉRICO	48	ENGENHARIA DE RESERVATÓRIOS II	48					INTRODUÇÃO À BIOESTATÍSTICA	48					ANÁLISE NO RN I	48			EQUAÇÕES DIFERENCIAIS ORDINÁRIAS	48	INTRODUÇÃO ÀS CURVAS ALGÉBRICAS	48			TÉCNICAS ANALÍTICAS DE SEPARAÇÃO	60	QUIMIOMETRIA	48			MORFOFISIOLOGIA HUMANA III	72	RECURSOS HÍDRICOS	36					FORMAÇÃO ECONÔMICA DO BRASIL	48			MONOGRAFIA I TÉCNICAS DE PESQUISA EM ECONOMIA	60	CUSTOS	72			ANÁLISE DE POLÍTICA EXTERNA	48	A QUESTÃO NUCLEAR NAS RELAÇÕES INTERNACIONAIS	48			AVALIAÇÃO E MONITORAMENTO DE POLÍTICAS PÚBLICAS	48	INOVAÇÃO TECNOLÓGICA	48			OFICINA DE PLANEJAMENTO URBANO	48	SENSORIAMENTO REMOTO	48		
		ELETRONICA ANALOGICA APLICADA	60					BIOFISICA	48			REDES DE COMPUTADORES	48	PRATICA AVANCADA DE PROGRAMACAO C	48			LINGUAGENS FORMAIS E AUTÔMATOS	48	SISTEMAS MULTIMÍDIA	48					SISTEMAS DISTRIBUIDOS	48			ANÁLISE DE SISTEMAS DINÂMICOS LINEARES	36					ELETRÔNICA DIGITAL	72	INTRODUÇÃO AOS PROCESSOS ESTOCÁSTICOS	48			TRANSFERÊNCIA DE CALOR APLICADA A SISTEMAS AEROESPACIAIS	48	INTERAÇÃO FLUIDO-ESTRUTURA	48			GESTAO DE OPERACOES	48	ENGENHARIA HUMANA	48			MATERIAIS METÁLICOS	48					MICROBIOLOGIA AMBIENTAL	48	TELEMEDICINA E SISTEMAS DE APOIO A DECISAO	48			BIOTECNOLOGIA HUMANA	48	MORFOFISIOLOGIA HUMANA I	72			MODELAGEM DE SISTEMAS DINAMICOS I	48	TELEMEDICINA E SISTEMAS DE APOIO A DECISAO	48			ESTRUTURA E DINÂMICA SOCIAL	36	IMPACTO AMBIENTAL E SOCIAL NA CADEIA DE PRODUÇÃO DE PETRÓLEO	48					NEUROCIÊNCIA DA COGNIÇÃO MUSICAL	24					ANÁLISE REAL II	48			PROBABILIDADE	48	METATEOREMAS DA LÓGICA CLÁSSICA	48			TRABALHO DE CONCLUSÃO DE CURSO EM QUÍMICA	24	BIOÉTICA	24			FISIOLOGIA VEGETAL II	48	EDUCAÇÃO AMBIENTAL	48					HISTÓRIA DO PENSAMENTO ECONÔMICO	48			DESENVOLVIMENTO SOCIOECONÔMICO	48	ORGANIZAÇÃO DO TRABALHO	24			METODOLOGIA DE PESQUISA EM RELAÇÕES INTERNACIONAIS (TCC 1)	48	POLÍTICA EXTERNA DO BRASIL E A AMÉRICA DO SUL	48			TRABALHO DE CONCLUSÃO DE CURSO DE POLÍTICAS PÚBLICAS I	24	QUALIDADE EM SISTEMAS	48			POLÍTICA METROPOLITANA	48	GEOTECNIA APLICADA AO PLANEJAMENTO URBANO-AMBIENTAL	36		
